字段	ID	数据类型	字段名	一览使用的字段名	显示名(资源名)	是否必填	是否启用	是否可自定义	是否全局可见	是否一览可见	是否编辑可见	是否只读	是否可以批量修改	过滤类型	过滤条件	检索模式	是否参与同步	值类型	数据有效值	是否有默认值	默认值	编辑控件	是否在复制时保留	列宽	字段组合	区域/门店	排序	修改者	修改时间	修改的位置	备注	是否固定列	数据库表的列名	是否是组合中的根字段	许可证功能ID
员工编号	EMPLOYEE_MANAGEMENT_RECORD.f1	EMPLOYEE_MANAGEMENT_RECORD	f1	f1	员工编号	1	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1,width:635	0	10	基本信息	2	80001		1970-01-01 00:00:00.000			0		1	
姓名	EMPLOYEE_MANAGEMENT_RECORD.name	EMPLOYEE_MANAGEMENT_RECORD	name	name	姓名	1	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80002		1970-01-01 00:00:00.000			0		0	
性别	EMPLOYEE_MANAGEMENT_RECORD.f2	EMPLOYEE_MANAGEMENT_RECORD	f2	f2	性别	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80003		1970-01-01 00:00:00.000			0		0	
名族	EMPLOYEE_MANAGEMENT_RECORD.f3	EMPLOYEE_MANAGEMENT_RECORD	f3	f3	名族	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80004		1970-01-01 00:00:00.000			0		0	
出生日期	EMPLOYEE_MANAGEMENT_RECORD.f4	EMPLOYEE_MANAGEMENT_RECORD	f4	f4	出生日期	0	1	1	1	1	1	0	0				0	4	50	0		widget:datebox,sortable:1	0	4	基本信息	2	80005		1970-01-01 00:00:00.000			0		0	
政治面貌	EMPLOYEE_MANAGEMENT_RECORD.f5	EMPLOYEE_MANAGEMENT_RECORD	f5	f5	政治面貌	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80006		1970-01-01 00:00:00.000			0		0	
入党时间	EMPLOYEE_MANAGEMENT_RECORD.f6	EMPLOYEE_MANAGEMENT_RECORD	f6	f6	入党时间	0	1	1	1	1	1	0	0				0	4	50	0		widget:datebox,sortable:1	0	4	基本信息	2	80007		1970-01-01 00:00:00.000			0		0	
身高	EMPLOYEE_MANAGEMENT_RECORD.f7	EMPLOYEE_MANAGEMENT_RECORD	f7	f7	身高	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80008		1970-01-01 00:00:00.000			0		0	
血型	EMPLOYEE_MANAGEMENT_RECORD.f8	EMPLOYEE_MANAGEMENT_RECORD	f8	f8	血型	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80009		1970-01-01 00:00:00.000			0		0	
婚姻状况	EMPLOYEE_MANAGEMENT_RECORD.f9	EMPLOYEE_MANAGEMENT_RECORD	f9	f9	婚姻状况	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80010		1970-01-01 00:00:00.000			0		0	
户籍性质	EMPLOYEE_MANAGEMENT_RECORD.f10	EMPLOYEE_MANAGEMENT_RECORD	f10	f10	户籍性质	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80011		1970-01-01 00:00:00.000			0		0	
外语水平	EMPLOYEE_MANAGEMENT_RECORD.f11	EMPLOYEE_MANAGEMENT_RECORD	f11	f11	外语水平	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80012		1970-01-01 00:00:00.000			0		0	
参加工作时间	EMPLOYEE_MANAGEMENT_RECORD.f12	EMPLOYEE_MANAGEMENT_RECORD	f12	f12	参加工作时间	0	1	1	1	1	1	0	0				0	4	50	0		widget:datebox,sortable:1	0	4	基本信息	2	80013		1970-01-01 00:00:00.000			0		0	
驾驶水平	EMPLOYEE_MANAGEMENT_RECORD.f13	EMPLOYEE_MANAGEMENT_RECORD	f13	f13	驾驶水平	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80014		1970-01-01 00:00:00.000			0		0	
电脑水平	EMPLOYEE_MANAGEMENT_RECORD.f14	EMPLOYEE_MANAGEMENT_RECORD	f14	f14	电脑水平	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80015		1970-01-01 00:00:00.000			0		0	
学历	EMPLOYEE_MANAGEMENT_RECORD.f15	EMPLOYEE_MANAGEMENT_RECORD	f15	f15	学历	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80016		1970-01-01 00:00:00.000			0		0	
专业	EMPLOYEE_MANAGEMENT_RECORD.f16	EMPLOYEE_MANAGEMENT_RECORD	f16	f16	专业	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80017		1970-01-01 00:00:00.000			0		0	
学历层次	EMPLOYEE_MANAGEMENT_RECORD.f17	EMPLOYEE_MANAGEMENT_RECORD	f17	f17	学历层次	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80018		1970-01-01 00:00:00.000			0		0	
毕业时间	EMPLOYEE_MANAGEMENT_RECORD.f18	EMPLOYEE_MANAGEMENT_RECORD	f18	f18	毕业时间	0	1	1	1	1	1	0	0				0	4	50	0		widget:datebox,sortable:1	0	4	基本信息	2	80019		1970-01-01 00:00:00.000			0		0	
毕业院校	EMPLOYEE_MANAGEMENT_RECORD.f19	EMPLOYEE_MANAGEMENT_RECORD	f19	f19	毕业院校	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1,width:635	0	10	基本信息	2	80020		1970-01-01 00:00:00.000			0		0	
身份证号	EMPLOYEE_MANAGEMENT_RECORD.f20	EMPLOYEE_MANAGEMENT_RECORD	f20	f20	身份证号	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80021		1970-01-01 00:00:00.000			0		0	
邮编	EMPLOYEE_MANAGEMENT_RECORD.f21	EMPLOYEE_MANAGEMENT_RECORD	f21	f21	邮编	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80022		1970-01-01 00:00:00.000			0		0	
户口所在地	EMPLOYEE_MANAGEMENT_RECORD.f22	EMPLOYEE_MANAGEMENT_RECORD	f22	f22	户口所在地	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1,width:635	0	10	基本信息	2	80023		1970-01-01 00:00:00.000			0		0	
现居住地	EMPLOYEE_MANAGEMENT_RECORD.f23	EMPLOYEE_MANAGEMENT_RECORD	f23	f23	现居住地	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1,width:635	0	10	基本信息	2	80024		1970-01-01 00:00:00.000			0		0	
通信地址	EMPLOYEE_MANAGEMENT_RECORD.f24	EMPLOYEE_MANAGEMENT_RECORD	f24	f24	通信地址	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1,width:635	0	10	基本信息	2	80025		1970-01-01 00:00:00.000			0		0	
个人照片	EMPLOYEE_MANAGEMENT_RECORD.f25	EMPLOYEE_MANAGEMENT_RECORD	f25	f25	个人照片	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1,width:635	0	10	基本信息	2	80026		1970-01-01 00:00:00.000			0		0	
系统账号	EMPLOYEE_MANAGEMENT_RECORD.f26	EMPLOYEE_MANAGEMENT_RECORD	f26	f26	系统账号	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80027		1970-01-01 00:00:00.000			0		0	
手机号码	EMPLOYEE_MANAGEMENT_RECORD.f27	EMPLOYEE_MANAGEMENT_RECORD	f27	f27	手机号码	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80028		1970-01-01 00:00:00.000			0		0	
备用号码	EMPLOYEE_MANAGEMENT_RECORD.f28	EMPLOYEE_MANAGEMENT_RECORD	f28	f28	备用号码	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80029		1970-01-01 00:00:00.000			0		0	
微信号	EMPLOYEE_MANAGEMENT_RECORD.f29	EMPLOYEE_MANAGEMENT_RECORD	f29	f29	微信号	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80030		1970-01-01 00:00:00.000			0		0	
紧急联系人	EMPLOYEE_MANAGEMENT_RECORD.f30	EMPLOYEE_MANAGEMENT_RECORD	f30	f30	紧急联系人	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80031		1970-01-01 00:00:00.000			0		0	
与本人关系	EMPLOYEE_MANAGEMENT_RECORD.f31	EMPLOYEE_MANAGEMENT_RECORD	f31	f31	与本人关系	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80032		1970-01-01 00:00:00.000			0		0	
联系人电话	EMPLOYEE_MANAGEMENT_RECORD.f32	EMPLOYEE_MANAGEMENT_RECORD	f32	f32	联系人电脑	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	基本信息	2	80033		1970-01-01 00:00:00.000			0		0	
入司日期	EMPLOYEE_MANAGEMENT_RECORD.joinedDate	EMPLOYEE_MANAGEMENT_RECORD	joinedDate	joinedDateText	入司日期	0	1	1	1	1	1	0	0				0	4	50	0		widget:datebox,sortable:1	0	4	入职情况	2	80034		1970-01-01 00:00:00.000			0		1	
入司渠道	EMPLOYEE_MANAGEMENT_RECORD.f33	EMPLOYEE_MANAGEMENT_RECORD	f33	f33	入司渠道	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	入职情况	2	80035		1970-01-01 00:00:00.000			0		0	
介绍人	EMPLOYEE_MANAGEMENT_RECORD.f34	EMPLOYEE_MANAGEMENT_RECORD	f34	f34	介绍人	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	入职情况	2	80036		1970-01-01 00:00:00.000			0		0	
期望薪金	EMPLOYEE_MANAGEMENT_RECORD.f35	EMPLOYEE_MANAGEMENT_RECORD	f35	f35	期望薪金	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	入职情况	2	80037		1970-01-01 00:00:00.000			0		0	
部门名称	EMPLOYEE_MANAGEMENT_RECORD.department	EMPLOYEE_MANAGEMENT_RECORD	department	department	部门名称	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	入职情况	2	80038		1970-01-01 00:00:00.000			0		0	
部门负责人	EMPLOYEE_MANAGEMENT_RECORD.isDivisionDirector	EMPLOYEE_MANAGEMENT_RECORD	isDivisionDirector	isDivisionDirectorText	部门负责人	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	入职情况	2	80039		1970-01-01 00:00:00.000			0		0	
转正日期	EMPLOYEE_MANAGEMENT_RECORD.f36	EMPLOYEE_MANAGEMENT_RECORD	f36	f36	转正日期	0	1	1	1	1	1	0	0				0	4	50	0		widget:datebox,sortable:1	0	4	入职情况	2	80040		1970-01-01 00:00:00.000			0		0	
合同编号	EMPLOYEE_MANAGEMENT_RECORD.f37	EMPLOYEE_MANAGEMENT_RECORD	f37	f37	合同编号	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1,width:635	0	10	劳动合同情况	2	80041		1970-01-01 00:00:00.000			0		1	
入职年限	EMPLOYEE_MANAGEMENT_RECORD.f38	EMPLOYEE_MANAGEMENT_RECORD	f38	f38	入职年限	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	劳动合同情况	2	80042		1970-01-01 00:00:00.000			0		0	
累计签订次数	EMPLOYEE_MANAGEMENT_RECORD.f39	EMPLOYEE_MANAGEMENT_RECORD	f39	f39	累计签订次数	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	劳动合同情况	2	80043		1970-01-01 00:00:00.000			0		0	
最近一次劳务合同签订日期	EMPLOYEE_MANAGEMENT_RECORD.f40	EMPLOYEE_MANAGEMENT_RECORD	f40	f40	最近一次劳务合同签订日期	0	1	1	1	1	1	0	0				0	4	50	0		widget:datebox,sortable:1	0	4	劳动合同情况	2	80044		1970-01-01 00:00:00.000			0		0	
最终劳务合同终止日期	EMPLOYEE_MANAGEMENT_RECORD.f41	EMPLOYEE_MANAGEMENT_RECORD	f41	f41	最终劳务合同终止日期	0	1	1	1	1	1	0	0				0	4	50	0		widget:datebox,sortable:1	0	4	劳动合同情况	2	80045		1970-01-01 00:00:00.000			0		0	
职级	EMPLOYEE_MANAGEMENT_RECORD.f42	EMPLOYEE_MANAGEMENT_RECORD	f42	f42	职级	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	薪酬情况	2	80046		1970-01-01 00:00:00.000			0		1	
岗位	EMPLOYEE_MANAGEMENT_RECORD.station	EMPLOYEE_MANAGEMENT_RECORD	station	station	岗位	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	薪酬情况	2	80047		1970-01-01 00:00:00.000			0		0	
职称	EMPLOYEE_MANAGEMENT_RECORD.f43	EMPLOYEE_MANAGEMENT_RECORD	f43	f43	职称	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	薪酬情况	2	80048		1970-01-01 00:00:00.000			0		0	
薪资	EMPLOYEE_MANAGEMENT_RECORD.f44	EMPLOYEE_MANAGEMENT_RECORD	f44	f44	薪资	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	薪酬情况	2	80049		1970-01-01 00:00:00.000			0		0	
内部单价	EMPLOYEE_MANAGEMENT_RECORD.f45	EMPLOYEE_MANAGEMENT_RECORD	f45	f45	内部单价	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	薪酬情况	2	80050		1970-01-01 00:00:00.000			0		0	
外部单价	EMPLOYEE_MANAGEMENT_RECORD.f46	EMPLOYEE_MANAGEMENT_RECORD	f46	f46	外部单价	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	薪酬情况	2	80051		1970-01-01 00:00:00.000			0		0	
员工类型	EMPLOYEE_MANAGEMENT_RECORD.f47	EMPLOYEE_MANAGEMENT_RECORD	f47	f47	员工类型	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	4	薪酬情况	2	80052		1970-01-01 00:00:00.000			0		0	
