字段	ID	数据类型	字段名	一览使用的字段名	显示名(资源名)	是否必填	是否启用	是否可自定义	是否全局可见	是否一览可见	是否编辑可见	是否只读	是否可以批量修改	过滤类型	过滤条件	检索模式	是否参与同步	值类型	数据有效值	是否有默认值	默认值	编辑控件	是否在复制时保留	列宽	字段组合	区域/门店	排序	修改者	修改时间	修改的位置	备注	是否固定列	数据库表的列名	是否是组合中的根字段	许可证功能ID
项目编号	QUALIFICATION_REVIEW.projectNo	QUALIFICATION_REVIEW	projectNo	projectNo	项目编号	1	1	1	1	1	1	1	0	1	1	2	0	4	50	0		widget:textbox,sortable:1	0	110		2	400501		1970-01-01 00:00:00.000			1			
项目名称	QUALIFICATION_REVIEW.projectName	QUALIFICATION_REVIEW	projectName	projectName	项目名称	1	1	1	1	1	1	0	0	1	1	2	0	4	50	0		widget:textbox,sortable:1	0	125		2	400502		1970-01-01 00:00:00.000			1			
项目状态	QUALIFICATION_REVIEW.projectStatus	QUALIFICATION_REVIEW	projectStatus	projectStatus	项目状态	1	1	1	1	1	1	0	0	1	1	0	0	1		0		widget:combobox,sortable:1,option:projectStatus	0	85		2	400503		1970-01-01 00:00:00.000			1			
项目类型	QUALIFICATION_REVIEW.projectType	QUALIFICATION_REVIEW	projectType	projectType	项目类型	1	1	1	1	1	1	0	0	2	1	0	0	1		0		widget:combobox,sortable:1,option:projectType	0	100		2	400504		1970-01-01 00:00:00.000			0			
立项申请日期	QUALIFICATION_REVIEW.initApplyDate	QUALIFICATION_REVIEW	initApplyDate	initApplyDateText	立项申请日期	1	1	1	1	1	1	0	0	2	2		0	5		0		widget:datebox,sortable:1	0	100		2	400505		1970-01-01 00:00:00.000			0			
建设单位	QUALIFICATION_REVIEW.constructionUnit	QUALIFICATION_REVIEW	constructionUnit	constructionUnit	建设单位	1	1	1	1	1	1	0	0	2	1	2	0	4	50	0		widget:textbox,sortable:1	0	85		2	400506		1970-01-01 00:00:00.000			0			
项目跟踪人	QUALIFICATION_REVIEW.projectTracker	QUALIFICATION_REVIEW	projectTracker	projectTracker	项目跟踪人	1	1	1	1	1	1	0	0	2	1	2	0	4	50	0		widget:textbox,sortable:1	0	85		2	400507		1970-01-01 00:00:00.000			0			
工程造价	QUALIFICATION_REVIEW.constructionCost	QUALIFICATION_REVIEW	constructionCost	constructionCost	工程造价	0	1	1	1	1	1	0	0				0	3	0,999999,2	0		widget:numberbox,sortable:1	0	85		2	400508		1970-01-01 00:00:00.000			0			
工程工期	QUALIFICATION_REVIEW.engineeringCycle	QUALIFICATION_REVIEW	engineeringCycle	engineeringCycle	工程工期	0	1	1	1	1	1	0	0				0	3		0		widget:numberbox,sortable:1	0	85		2	400509		1970-01-01 00:00:00.000			0			
流程状态	QUALIFICATION_REVIEW.processStatus	QUALIFICATION_REVIEW	processStatus	processStatus	流程状态	0	1	1	1	1	1	0	0				0	1		0		widget:combobox,sortable:1,option:processStatus	0	85		2	400510		1970-01-01 00:00:00.000			0			
