字段	ID	数据类型	字段名	一览使用的字段名	显示名(资源名)	是否必填	是否启用	是否可自定义	是否全局可见	是否一览可见	是否编辑可见	是否只读	是否可以批量修改	过滤类型	过滤条件	检索模式	是否参与同步	值类型	数据有效值	是否有默认值	默认值	编辑控件	是否在复制时保留	列宽	字段组合	区域/门店	排序	修改者	修改时间	修改的位置	备注	是否固定列	数据库表的列名	是否是组合中的根字段	许可证功能ID
项目名称	INFO.infoName	INFO	infoName	infoName	项目名称	1	1	1	1	1	1	0	0	1	1	2	0	4	50	0		widget:textbox,sortable:1	0	125		2	10001		1970-01-01 00:00:00.000			1			
项目来源	INFO.infoSource	INFO	infoSource	infoSource	项目来源	0	1	1	1	1	1	0	0				0	1		0		widget:combobox,sortable:1,option:infoSource	0	100		2	10006		1970-01-01 00:00:00.000			0			
建设单位	INFO.constructUnit	INFO	constructUnit	constructUnit	建设单位	0	1	1	1	1	1	0	0	1	1	0	0	4	50	0		widget:textbox,sortable:1	0	180		2	10011		1970-01-01 00:00:00.000			0			
最终客户	INFO.finalCustomer	INFO	finalCustomer	finalCustomer	最终客户	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	100		2	10016		1970-01-01 00:00:00.000			0			
项目简介	INFO.infoDescription	INFO	infoDescription	infoDescription	项目简介	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	100		2	10021		1970-01-01 00:00:00.000			0			
预计总投资	INFO.infoCost	INFO	infoCost	infoCost	预计总投资	0	1	1	1	1	1	0	0				0	3	0,999999,2	0		widget:numberbox,sortable:1	0	100		2	10026		1970-01-01 00:00:00.000			0			
计划开始时间	INFO.fromDate	INFO	fromDate	fromDate	计划开始时间	0	1	1	1	1	1	0	0				0	5		0		widget:datebox,sortable:1	0	100		2	10031		1970-01-01 00:00:00.000			0			
已出方案	INFO.planStatus	INFO	planStatus	planStatus	已出方案	0	1	1	1	1	1	0	0				0	1		0		widget:combobox,sortable:1,option:planStatus	0	85		2	10036		1970-01-01 00:00:00.000			1			
目前状态	INFO.infoStatus	INFO	infoStatus	infoStatus	目前状态	0	1	1	1	1	1	0	0	2	1	0	0	1		0		widget:combobox,sortable:1,option:infoStatus	0	85		2	10041		1970-01-01 00:00:00.000			1			
主要负责人	INFO.principal	INFO	principal	principal	主要负责人	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	100		2	10046		1970-01-01 00:00:00.000			0			
备注	INFO.remark	INFO	remark	remark	备注	0	1	1	1	1	1	0	0				0	4	50	0		widget:textbox,sortable:1	0	100		2	10051		1970-01-01 00:00:00.000			0			
