ID	画面(模块/功能)名	数据类型	图标	排序依据	URL链接	上级画面ID	画面叶节点	功能节点	是否启用	是否可自定义	区域/门店	备注	是否可用于菜单	是否可配置权限	是否全局可见	许可证功能ID	备注（中文，不写入数据库）
P10	立项管理		fa fa-paint-brush	100000			0	0	1	1	2		1	1	1		立项管理
P1001	项目立项		fa fa-genderless	100100	/project-management/initiation/main.htm	P10	1	0	1	1	2		1	1	1		项目立项
P1003	立项前期管理		fa fa-genderless	100300		P10	1	0	1	1	2		1	1	1		立项前期管理
P1005	组织架构管理		fa fa-genderless	100500		P10	1	0	1	1	2		1	1	1		组织架构管理
P1008	项目成员管理		fa fa-genderless	100800		P10	1	0	1	1	2		1	1	1		项目成员管理
P1011	权限管理		fa fa-genderless	101100		P10	1	0	1	1	2		1	1	1		权限管理
P20	投资概算		fa fa-bar-chart	200000			0	0	1	1	2		1	1	1		投资概算
P2001	资金计划		fa fa-genderless	200100	/fund-management/schedule/main.htm	P20	1	0	1	1	2		1	1	1		资金计划
P2003	合同预算		fa fa-genderless	200300		P20	1	0	1	1	2		1	1	1		合同预算
P2005	预算规划		fa fa-genderless	200500	/fund-management/monthly-expenditure-plan-report/main.htm	P20	1	0	1	1	2		1	1	1		预算规划
P2008	预算执行		fa fa-genderless	200800	/fund-management/cost-recorder/main.htm	P20	1	0	1	1	2		1	1	1		预算执行
P2011	预算模板		fa fa-genderless	201100		P20	1	0	1	1	2		1	1	1		预算模板
P2014	经费决算		fa fa-genderless	201400		P20	1	0	1	1	2		1	1	1		经费决算
P2017	财务基础管理		fa fa-genderless	201700		P20	1	0	1	1	2		1	1	1		财务基础管理
P30	招标管理		fa fa-suitcase	300000			0	0	1	1	2		1	1	1		招标管理
P3003	标书材料编制		fa fa-genderless	300300	/bidding-management/materials-compilatio/main.htm	P30	1	0	1	1	2		1	1	1		标书材料编制
P40	投标管理		fa fa-legal	400000			0	0	1	1	2		1	1	1		投标管理
