ID	画面(模块/功能)名	数据类型	图标	排序依据	URL链接	上级画面ID	画面叶节点	功能节点	是否启用	是否可自定义	区域/门店	备注	是否可用于菜单	是否可配置权限	是否全局可见	许可证功能ID	备注（中文，不写入数据库）
P3001F03	编辑		icon-func-edit	300103		P3001	0	1	1	0	2		0	1	1		编辑
P3001F02	删除		icon-func-delete	300102		P3001	0	1	1	0	2		0	1	1		删除
P3001F14	状态变更		icon-func-state-change	300114		P3001	0	1	1	0	2		0	1	1		状态变更
P3001F15	状态变更查询		icon-func-state-change-query	300115		P3001	0	1	1	0	2		0	1	1		状态变更查询
P3001F08	提交审核		icon-func-audit-submit	300108		P3001	0	1	1	0	2		0	1	1		提交审核
P3001F09	撤回		icon-func-audit-withdraw	300109		P3001	0	1	1	0	2		0	1	1		撤回
P3001F10	流程状态		icon-func-process-status	300110		P3001	0	1	1	0	2		0	1	1		流程状态
P3001F11	审核记录		icon-func-audit-record	300111		P3001	0	1	1	0	2		0	1	1		审核记录
P3001F30	检索		icon-func-search	300130		P3001	0	1	1	0	2		0	1	1		检索
P3001F31	清空检索		icon-func-clear-search	300131		P3001	0	1	1	0	2		0	1	1		清空检索
P3001F32	高级检索		icon-func-search-more	300232		P3002	0	1	1	0	2		0	1	1		高级检索
